Customer_ID,User_Name,Product_Name,Product_ID,Comment,Sentiment,Sentimental_Score
cous__.01,Mira,Potato Chips,PID005001,Not satisfied.,Neutral,0.0
cous__.02,Sita,Corn Chips,PID005002,"Not good, expected better.",Negative,-0.674
cous__.03,Rohan,Tortilla Chips,PID005003,"Not good, expected better.",Positive,0.885
cous__.04,Priya,Veggie Chips,PID005004,Fresh and tasty.,Neutral,0.0
cous__.05,Sneha,Pretzels,PID005005,Fresh and tasty.,Positive,0.885
cous__.06,Amit,Popcorn,PID005006,"Not good, expected better.",Negative,-0.674
cous__.07,Mira,Milk,PID005007,Not satisfied.,Neutral,0.0
cous__.08,Divya,Yogurt,PID005008,Highly recommended!,Negative,-0.674
cous__.09,Arjun,Cheddar Cheese,PID005009,Worth the price.,Positive,0.885
cous__.10,Kunal,Mozzarella Cheese,PID005010,Very delicious!,Neutral,0.0
cous__.11,Priya,Greek Yogurt,PID005011,Worth the price.,Neutral,0.0
cous__.12,Mira,Butter,PID005012,"Too spicy, not for me.",Negative,-0.674
cous__.13,Rohan,Cream Cheese,PID005013,Average experience.,Negative,-0.674
cous__.14,Amit,Cottage Cheese,PID005014,Worth the price.,Neutral,0.0
cous__.15,Meera,Orange Juice,PID005015,Very delicious!,Neutral,0.0
cous__.16,Rohan,Apple Juice,PID005016,Not satisfied.,Negative,-0.674
cous__.17,Varun,Green Tea,PID005017,"Too spicy, not for me.",Positive,0.885
cous__.18,Priya,Coffee,PID005018,Loved the taste!,Neutral,0.0
cous__.19,Aditya,Soft Drink,PID005019,Very delicious!,Negative,-0.674
cous__.20,Kunal,Black Tea,PID005020,"Too spicy, not for me.",Positive,0.885
cous__.21,Amit,Herbal Tea,PID005021,Worth the price.,Neutral,0.0
cous__.22,Meera,Sparkling Water,PID005022,"Too spicy, not for me.",Neutral,0.0
cous__.23,Sneha,Ready-to-Eat Pasta,PID005023,Fresh and tasty.,Neutral,0.0
cous__.24,Aditya,Frozen Pizza,PID005024,Highly recommended!,Neutral,0.0
cous__.25,Amit,Frozen Burritos,PID005025,Bad packaging.,Neutral,0.0
cous__.26,Kiran,Frozen Lasagna,PID005026,"Not good, expected better.",Positive,0.885
cous__.27,Priya,Instant Noodles,PID005027,Bad packaging.,Positive,0.885
cous__.28,Rohan,Whole Wheat Bread,PID005028,"Not good, expected better.",Neutral,0.0
cous__.29,Arjun,Bagels,PID005029,Very delicious!,Negative,-0.674
cous__.30,Suman,Croissants,PID005030,Not satisfied.,Positive,0.885
cous__.31,Aditya,English Muffins,PID005031,Fresh and tasty.,Positive,0.885
cous__.32,Kunal,Pita Bread,PID005032,"Too spicy, not for me.",Negative,-0.674
cous__.33,Amit,Sourdough Bread,PID005033,Fresh and tasty.,Negative,-0.674
cous__.34,Mira,Multigrain Cereal,PID005034,Bad packaging.,Positive,0.885
cous__.35,Meera,Oatmeal,PID005035,Average experience.,Neutral,0.0
cous__.36,Kiran,Granola Bars,PID005036,"Not good, expected better.",Negative,-0.674
cous__.37,Divya,Protein Bars,PID005037,Fresh and tasty.,Positive,0.885
cous__.38,Kiran,Raisin Bran Cereal,PID005038,Highly recommended!,Neutral,0.0
cous__.39,Swati,Frozen Vegetables,PID005039,Loved the taste!,Negative,-0.674
cous__.40,Rahul,Frozen French Fries,PID005040,Not satisfied.,Neutral,0.0
cous__.41,Varun,Frozen Chicken Nuggets,PID005041,Very delicious!,Neutral,0.0
cous__.42,Varun,Frozen Fish Sticks,PID005042,Very delicious!,Neutral,0.0
cous__.43,Priya,Frozen Dumplings,PID005043,Very delicious!,Positive,0.885
cous__.44,Pooja,Frozen Spring Rolls,PID005044,Loved the taste!,Neutral,0.0
cous__.45,Arjun,Frozen Waffles,PID005045,Worth the price.,Positive,0.885
cous__.46,Kiran,Frozen Berries,PID005046,Average experience.,Positive,0.885
