Customer_ID,User_Name,Product_Name,Product_ID,User_ID,Facebook_ID,Comment,Sentiment,Sentimental_Score,Rating
cous__.01,Mira,Potato Chips,PID005001,https://www.facebook.com/vukkarvibes,1397040301788260,Not satisfied.,Neutral,0.0,5
cous__.02,Sita,Corn Chips,PID005002,https://www.facebook.com/vukkarvibes,1397040301788261,"Not good, expected better.",Negative,-0.674,1
cous__.03,Rohan,Tortilla Chips,PID005003,https://www.facebook.com/vukkarvibes,1397040301788262,"Not good, expected better.",Positive,0.885,5
cous__.04,Priya,Veggie Chips,PID005004,https://www.facebook.com/vukkarvibes,1397040301788263,Fresh and tasty.,Neutral,0.0,2
cous__.05,Sneha,Pretzels,PID005005,https://www.facebook.com/vukkarvibes,1397040301788264,Fresh and tasty.,Positive,0.885,4
cous__.06,Amit,Popcorn,PID005006,https://www.facebook.com/vukkarvibes,1397040301788265,"Not good, expected better.",Negative,-0.674,5
cous__.07,Mira,Milk,PID005007,https://www.facebook.com/vukkarvibes,1397040301788266,Not satisfied.,Neutral,0.0,2
cous__.08,Divya,Yogurt,PID005008,https://www.facebook.com/vukkarvibes,1397040301788267,Highly recommended!,Negative,-0.674,2
cous__.09,Arjun,Cheddar Cheese,PID005009,https://www.facebook.com/vukkarvibes,1397040301788268,Worth the price.,Positive,0.885,3
cous__.10,Kunal,Mozzarella Cheese,PID005010,https://www.facebook.com/vukkarvibes,1397040301788269,Very delicious!,Neutral,0.0,3
cous__.11,Priya,Greek Yogurt,PID005011,https://www.facebook.com/vukkarvibes,1397040301788270,Worth the price.,Neutral,0.0,2
cous__.12,Mira,Butter,PID005012,https://www.facebook.com/vukkarvibes,1397040301788271,"Too spicy, not for me.",Negative,-0.674,4
cous__.13,Rohan,Cream Cheese,PID005013,https://www.facebook.com/vukkarvibes,1397040301788272,Average experience.,Negative,-0.674,2
cous__.14,Amit,Cottage Cheese,PID005014,https://www.facebook.com/vukkarvibes,1397040301788273,Worth the price.,Neutral,0.0,1
cous__.15,Meera,Orange Juice,PID005015,https://www.facebook.com/vukkarvibes,1397040301788274,Very delicious!,Neutral,0.0,3
cous__.16,Rohan,Apple Juice,PID005016,https://www.facebook.com/vukkarvibes,1397040301788275,Not satisfied.,Negative,-0.674,2
cous__.17,Varun,Green Tea,PID005017,https://www.facebook.com/vukkarvibes,1397040301788276,"Too spicy, not for me.",Positive,0.885,5
cous__.18,Priya,Coffee,PID005018,https://www.facebook.com/vukkarvibes,1397040301788277,Loved the taste!,Neutral,0.0,4
cous__.19,Aditya,Soft Drink,PID005019,https://www.facebook.com/vukkarvibes,1397040301788278,Very delicious!,Negative,-0.674,5
